id,name,icon,description,category,featured,trending,fullDescription,,link
11,Oh My Competitions,11.jpg,"Oh My Competitions enables users to participate in secure, Pi Network-based strategy competitions and win exclusive digital rewards, goods",Gaming,TRUE,TRUE,"Oh My Competitions enables users to participate in secure, Pi Network-based strategy competitions and win exclusive digital rewards, goods",,https://www.ohmycompetitions.com
12,Thepitogo Services,12.jpg,A go to travel and social platform with secure payment experience for travelers worldwide fueled with Pi,Lifestyle,TRUE,TRUE,A go to travel and social platform with secure payment experience for travelers worldwide fueled with Pi,,https://thepitogo.pinet.com
13,Live TV,13.jpg,Live TV channel,Lifestyle,TRUE,TRUE,Live TV channel,,https://livetvacaecc9607.pinet.com
14,RadioForUs para Pi,14.png,"RadioForUs, winner of PiHackathon August 2023, offers music, entertainment, and exclusive content powered by Pi Network.",Lifestyle,TRUE,TRUE,"RadioForUs, winner of PiHackathon August 2023, offers music, entertainment, and exclusive content powered by Pi Network.",,https://radioforus.pinet.com
15,Fruity Pi,15.png,Combine fruits in Fruity Pi and see how far your merging skills can take you in this fun and colorful game!,Gaming,TRUE,TRUE,Combine fruits in Fruity Pi and see how far your merging skills can take you in this fun and colorful game!,,https://fruitypi.pinet.com
16,Pet for Pi,16.jpg,"PiPet is the first NFT pet-cultive game project based on the world's most accessible blockchain-based ecosystem, Pi Network",Gaming,TRUE,TRUE,"PiPet is the first NFT pet-cultive game project based on the world's most accessible blockchain-based ecosystem, Pi Network",,https://petpi.pinet.com
17,Slice of Pi,17.jpg,Sharpen your slicing skills in Slice of Pi! Cut ingredients into perfect slices and blend smoothies for high scores.,Gaming,TRUE,TRUE,Sharpen your slicing skills in Slice of Pi! Cut ingredients into perfect slices and blend smoothies for high scores.,,https://sliceofpi.pinet.com
18,Destiny & tarot,18.png,"Enabling people around the world to check their destiny based on tarot, and giving them hope to be cautious and move forward.",Gaming,TRUE,TRUE,"Enabling people around the world to check their destiny based on tarot, and giving them hope to be cautious and move forward.",,https://destinytarot7161.pinet.com
19,World of Pi MainNet,19.png,Game competition platform where pioneers could win Pi coins via competing gaming skills in different kinds of games.,Gaming,TRUE,TRUE,Game competition platform where pioneers could win Pi coins via competing gaming skills in different kinds of games.,,https://gamepi.pinet.com
20,super pi land pi game,20.png,A classic Game Boy title released in 1989. Mario ventures through Sarasaland to save Princess Daisy from the alien Tatanga.,Gaming,TRUE,TRUE,A classic Game Boy title released in 1989. Mario ventures through Sarasaland to save Princess Daisy from the alien Tatanga.,,https://supermariopigame6815.pinet.com
21,LatChain Platform,21.jpg,"2021-Hackathon-winner Games from Latin America for Pi in Mainnet (LatinChain Platform). Improve skills in Chess, Sudoku & Snake, and more...",Gaming,TRUE,TRUE,"2021-Hackathon-winner Games from Latin America for Pi in Mainnet (LatinChain Platform). Improve skills in Chess, Sudoku & Snake, and more...",,https://latinchain.pinet.com
22,Play games,22.jpg,Let pi users play games and win some pi,Gaming,TRUE,TRUE,Let pi users play games and win some pi,,https://playgames.pinet.com
23,KaPiQuest,23.jpg,"KaPiQuest is a fun and fast-paced word puzzle game. Connect words, race the clock, learn, earn rewards, and rise on the leaderboard",Gaming,TRUE,TRUE,"KaPiQuest is a fun and fast-paced word puzzle game. Connect words, race the clock, learn, earn rewards, and rise on the leaderboard",,https://kapiquest.kapioneer.world
24,Pithon Game,24.jpg,Eat coins to grow your snake. The highest score of each week tops the weekly leaderboard to win real Pi prizes!,Gaming,TRUE,TRUE,Eat coins to grow your snake. The highest score of each week tops the weekly leaderboard to win real Pi prizes!,,https://pithongame.pinet.com
25,Infopigame,25.jpg,"Pet puzzle — play, match & win! Daily rewards, premium features & more Pi games coming soon!",Gaming,TRUE,TRUE,"Pet puzzle — play, match & win! Daily rewards, premium features & more Pi games coming soon!",,https://infopigame.site
26,EcoTrack,26.png,"EcoTrack helps users log eco-friendly activities, save CO?, and earn Pi rewards for sustainable living.",Gaming,TRUE,TRUE,"EcoTrack helps users log eco-friendly activities, save CO?, and earn Pi rewards for sustainable living.",,https://app-cdn.minepi.com/mobile-app-ui/app/ecotrack-7170365bc36e10a9
27,SimpleJoy,27.jpg,"SimpleJoy is a curated platform for free and open source games, built for the Pi Network community.",Gaming,TRUE,TRUE,"SimpleJoy is a curated platform for free and open source games, built for the Pi Network community.",,https://simplejoy.top
28,WordWheel,28.png,Find all the words on the word wheel! A fun new word puzzle and daily challenge. Have fun and share your score with friends and family.,Gaming,TRUE,TRUE,Find all the words on the word wheel! A fun new word puzzle and daily challenge. Have fun and share your score with friends and family.,,https://wordwheel.fun
